,,,,,,maxerr,err050,err075,err200,err_train,err_val,regparams,objval,time,gurobifail
LBFGSB,DMA1,HW,grouped,set001,4,5.6832473588284955,54.43452922964852,71.55345110180295,98.83445638317247,4.009180495469556,5.093242845996512,1e-12,4.009180503165416,59.68026662446752,False
LBFGSB,DMA1,HW,grouped,set001,5,5.683247346036055,54.43452922964852,71.55345110180295,98.83445638317247,4.009180523052242,5.09324137196531,1.0000000000000001e-11,4.009180682667791,59.608216430294426,False
LBFGSB,DMA1,HW,grouped,set001,6,5.683247262374223,54.43452922964852,71.55345110180295,98.83445638317247,4.009180796188566,5.093226648815204,1e-10,4.009182474670565,59.39566959779652,False
LBFGSB,DMA1,HW,grouped,set001,7,5.683250712190343,54.43452922964852,71.55345110180295,98.83445638317247,4.009183268924378,5.093081099728507,1e-09,4.0092001362573155,59.113646433887055,False
LBFGSB,DMA1,HW,grouped,set001,8,5.683604268546347,54.43452922964852,71.57166272081588,98.83445638317247,4.009190013177578,5.091760970030035,1e-08,4.009358816150639,59.23619531931637,False
LBFGSB,DMA1,HW,grouped,set001,9,5.675330886616919,54.41631761063559,71.58987433982881,98.83445638317247,4.009671109412655,5.087759554609551,1e-07,4.0113615208854005,57.330641284450756,False
LBFGSB,DMA1,HW,grouped,set001,10,5.671785323997241,54.4891640866873,71.60808595884174,98.83445638317247,4.009900732555189,5.088799494970825,1e-06,4.026729780624409,55.73331779378304,False
LBFGSB,DMA1,HW,grouped,set001,11,5.690111973809707,54.179566563467496,71.02531415042797,98.81624476415953,4.054984220092773,5.131858839542801,9.999999999999999e-06,4.24188966477174,64.41452876670145,False
LBFGSB,DMA1,HW,grouped,set001,12,5.125242746889782,69.49553815334183,85.376069932617,98.81624476415953,2.724710734775862,3.543923587030813,0.0001,3.99278890298085,135.17032787025474,False
LBFGSB,DMA1,HW,grouped,set001,13,6.600542488625621,47.42305590967037,66.25386996904025,96.64906210162083,6.354217795095979,7.7643915425641525,0.001,13.399199172820373,63.329008776281796,False
LBFGSB,DMA1,HW,grouped,set001,14,8.21171937992601,37.3884538335458,47.09524676743763,85.8495720269532,22.607616720382076,26.261318888171765,0.01,41.290603422626155,22.222042067986244,False
LBFGSB,DMA1,HW,grouped,set001,15,13.854865977014256,38.66326716445092,43.36186486978693,61.8284465488982,113.75811577146844,105.02541896585848,0.1,153.83651024981663,9.64804201666296,False
