,,,,,maxerr,err050,err075,err200,err_train,err_val,regparams,objval,time
DMA1,DW,nongrouped,set008,0,5.024699924530296,78.87452194500091,89.05481697322892,99.12584228737936,2.0644855645876303,2.756084149005628,0.0,2.0644855552818626,66.5856646242833
DMA1,DW,nongrouped,set008,1,5.024699924529045,78.87452194500091,89.05481697322892,99.12584228737936,2.064485564587594,2.7560841490033865,1e-15,2.0644855552956116,66.31135426013572
DMA1,DW,nongrouped,set008,2,5.024699924517378,78.87452194500091,89.05481697322892,99.12584228737936,2.064485564586914,2.7560841489829437,1e-14,2.0644855554484582,65.99101414043261
DMA1,DW,nongrouped,set008,3,5.0246999243986465,78.87452194500091,89.05481697322892,99.12584228737936,2.0644855645804565,2.7560841487770205,1e-13,2.0644855566858835,66.18427684145966
DMA1,DW,nongrouped,set008,4,5.024699923207507,78.87452194500091,89.05481697322892,99.12584228737936,2.0644855645155094,2.75608414671589,1e-12,2.0644855689728274,66.08874017479015
DMA1,DW,nongrouped,set008,5,5.024699911297404,78.87452194500091,89.05481697322892,99.12584228737936,2.0644855638666435,2.756084126104941,1.0000000000000001e-11,2.064485692060538,66.18770951679942
DMA1,DW,nongrouped,set008,6,5.024699792203876,78.87452194500091,89.05481697322892,99.12584228737936,2.064485557377339,2.756083919997799,1e-10,2.064486922995385,66.60536508422587
DMA1,DW,nongrouped,set008,7,5.024698601399038,78.87452194500091,89.05481697322892,99.12584228737936,2.064485492493126,2.7560818589285776,1e-09,2.064499232340663,66.33966549164755
DMA1,DW,nongrouped,set008,8,5.024686707120978,78.87452194500091,89.05481697322892,99.12584228737936,2.064484844498037,2.7560612487399783,1e-08,2.0646223216907855,66.01602485417759
DMA1,DW,nongrouped,set008,9,5.024350347687516,78.87452194500091,89.05481697322892,99.12584228737936,2.0644777336770512,2.755746080854849,1e-07,2.065852117730501,65.78528500272441
DMA1,DW,nongrouped,set008,10,5.023364588861185,78.91094518302677,89.036605354216,99.12584228737936,2.0644219310603638,2.7536919740884263,1e-06,2.0781182117278076,65.70972551428115
DMA1,DW,nongrouped,set008,11,5.05927024042424,79.62119832453105,89.07302859224185,99.03478419231469,2.0483462755169364,2.7758881281799885,9.999999999999999e-06,2.1788964992679003,88.31944196144079
DMA1,DW,nongrouped,set008,12,5.0110937001832525,81.71553451101803,89.8925514478237,99.0894190493535,2.1045351068882217,2.6529439638429606,0.0001,2.5974924086655653,108.71921733633631
DMA1,DW,nongrouped,set008,13,4.99837374307414,70.8614095793116,83.73702422145328,98.94372609725005,3.203732051559901,3.3349126664604976,0.001,4.888003311185011,87.55742995007095
DMA1,DW,nongrouped,set008,14,5.091536351719725,63.64960845019122,71.89947186304863,96.2666181023493,6.307377814289699,6.329442986306839,0.01,13.373506536763543,48.565202440595385
DMA1,DW,nongrouped,set008,15,7.433644020666037,52.10344199599345,65.39792387543253,87.01511564378073,26.082581690757284,24.52543488397107,0.1,38.69768972783531,34.59230244153631
DMA1,DW,nongrouped,set009,0,5.037414386956883,78.94736842105263,89.10945183026772,99.12584228737936,2.060320035360559,2.748487869966367,0.0,2.060320029995637,66.29541793870112
DMA1,DW,nongrouped,set009,1,5.037414386956911,78.94736842105263,89.10945183026772,99.12584228737936,2.060320035360553,2.7484878699649067,1e-15,2.0603200300386795,66.63906954225578
DMA1,DW,nongrouped,set009,2,5.037414386954552,78.94736842105263,89.10945183026772,99.12584228737936,2.0603200353605087,2.74848786995016,1e-14,2.0603200301495734,65.98525480749902
DMA1,DW,nongrouped,set009,3,5.03741438693595,78.94736842105263,89.10945183026772,99.12584228737936,2.0603200353604763,2.7484878698049817,1e-13,2.060320031389483,65.49296528233391
DMA1,DW,nongrouped,set009,4,5.037414386744558,78.94736842105263,89.10945183026772,99.12584228737936,2.0603200353593083,2.7484878683501757,1e-12,2.060320043963199,65.65724484393003
DMA1,DW,nongrouped,set009,5,5.0374143848317345,78.94736842105263,89.10945183026772,99.12584228737936,2.060320035347941,2.748487853803264,1.0000000000000001e-11,2.0603201693802116,66.46440299420303
DMA1,DW,nongrouped,set009,6,5.037414365705388,78.94736842105263,89.10945183026772,99.12584228737936,2.0603200352346276,2.7484877083342965,1e-10,2.060321423739026,65.71904839704412
DMA1,DW,nongrouped,set009,7,5.037414174442517,78.94736842105263,89.10945183026772,99.12584228737936,2.060320034110248,2.74848625365966,1e-09,2.0603339671765397,66.39057224656754
DMA1,DW,nongrouped,set009,8,5.0374122596601865,78.94736842105263,89.10945183026772,99.12584228737936,2.060320023304515,2.748471705026353,1e-08,2.0604593970663485,66.41314424678309
DMA1,DW,nongrouped,set009,9,5.037393147185966,78.96558004006556,89.10945183026772,99.12584228737936,2.0603200106833515,2.7483264035704087,1e-07,2.0617133037358975,66.10393273564465
DMA1,DW,nongrouped,set009,10,5.037250456958205,79.00200327809142,89.07302859224185,99.12584228737936,2.060475805970314,2.748177664051566,1e-06,2.0743620005582,65.83620287769907
DMA1,DW,nongrouped,set009,11,5.0355469490782525,79.23875432525952,89.21872154434529,99.12584228737936,2.0613721725821286,2.7352288339138147,9.999999999999999e-06,2.195522232008678,66.1563505349174
DMA1,DW,nongrouped,set009,12,5.004742790990207,81.71553451101803,89.87433982881078,99.10763066836643,2.1042296798781046,2.6553417476516046,0.0001,2.6007207199203757,115.8999669819915
DMA1,DW,nongrouped,set009,13,4.983788250912269,70.98889091240211,83.79165907849207,98.94372609725005,3.1942448001536117,3.310367615553924,0.001,4.897900281585857,90.69432423855426
DMA1,DW,nongrouped,set009,14,5.113402673907714,63.32179930795848,71.62629757785467,96.19377162629758,6.372435807161117,6.3657550772554,0.01,13.37175821785555,51.598840178297245
DMA1,DW,nongrouped,set009,15,7.43381944630454,52.10344199599345,65.39792387543253,86.9969040247678,26.086868013435055,24.529873354409713,0.1,38.69765067880835,34.333209872213466
DMA1,DW,nongrouped,set010,0,5.0258290859503205,78.8016754689492,88.87270078309962,99.10763066836643,2.0348273689037164,2.7525967189238867,0.0,2.034827358700568,113.15167113037066
DMA1,DW,nongrouped,set010,1,5.025829084836616,78.8016754689492,88.87270078309962,99.10763066836643,2.0348273693514547,2.75259672170991,1e-15,2.0348273591512016,112.10819556583543
DMA1,DW,nongrouped,set010,2,5.025829085084865,78.8016754689492,88.87270078309962,99.10763066836643,2.0348273691393053,2.7525967213994784,1e-14,2.0348273590450567,112.4922407680023
DMA1,DW,nongrouped,set010,3,5.025829084836374,78.8016754689492,88.87270078309962,99.10763066836643,2.0348273689644354,2.75259672273249,1e-13,2.0348273601663953,112.27690133688719
DMA1,DW,nongrouped,set010,4,5.025829082801863,78.8016754689492,88.87270078309962,99.10763066836643,2.0348273669583166,2.7525967352697567,1e-12,2.034827370855914,113.26538780335295
DMA1,DW,nongrouped,set010,5,5.025829062574616,78.8016754689492,88.87270078309962,99.10763066836643,2.0348273467261904,2.752596860447684,1.0000000000000001e-11,2.0348274772563304,112.14841680360016
DMA1,DW,nongrouped,set010,6,5.025828860675091,78.8016754689492,88.87270078309962,99.10763066836643,2.034827144143506,2.7525981114386795,1e-10,2.0348285415513176,112.02379948317407
