,,LBFGSB,LBFGSB,LBFGSB,LBFGSB,LBFGSB,LBFGSB,LBFGSB,LBFGSB,SCP,SCP,SCP,SCP,SCP,SCP,SCP,SCP
,,DMA1,DMA1,DMA1,DMA1,DMA2,DMA2,DMA2,DMA2,DMA1,DMA1,DMA1,DMA1,DMA2,DMA2,DMA2,DMA2
,,DW,DW,HW,HW,DW,DW,HW,HW,DW,DW,HW,HW,DW,DW,HW,HW
,,grouped,nongrouped,grouped,nongrouped,grouped,nongrouped,grouped,nongrouped,grouped,nongrouped,grouped,nongrouped,grouped,nongrouped,grouped,nongrouped
err050,set016,73.81169185940631,78.72882899289748,69.2952103441996,72.62793662356583,85.42868127643214,86.48596693579393,77.83544790465206,79.89234909650135,73.70242214532871,80.27681660899654,67.82006920415225,2.8228009470041884,85.5440215301807,86.81276432141483,78.54671280276817,7.381776239907728
err050,set017,73.2107084319796,78.78346384993627,68.20251320342379,74.33982881078128,85.46712802768167,86.23606305267205,78.25836216839677,80.1038062283737,73.68421052631578,80.3132398470224,67.18266253869969,11.76470588235294,85.50557477893118,86.87043444828913,78.54671280276817,5.555555555555555
err050,set018,72.6097250045529,79.7122564195957,69.38626843926426,73.8663267164451,85.69780853517878,86.50519031141869,77.85467128027682,80.16147635524798,73.73884538335457,80.38608632307412,67.82006920415225,9.032963030413404,85.5440215301807,86.75509419454056,78.52748942714341,80.27681660899654
err050,set019,74.01201966854853,79.27517756328537,68.34820615552722,72.91932252777272,85.46712802768167,86.79354094579008,77.97001153402537,79.83467896962708,73.68421052631578,80.27681660899654,67.82006920415225,10.526315789473683,85.56324490580546,86.83198769703961,78.52748942714341,80.85351787773934
err050,set020,70.07830996175561,79.12948461118194,68.20251320342379,74.90438900018212,85.5440215301807,86.42829680891964,77.87389465590158,79.62322183775471,73.73884538335457,81.33309051174649,67.25550901475141,10.526315789473683,85.5440215301807,86.85121107266436,78.52748942714341,5.555555555555555
err050,set021,74.54015661992351,79.14769623019487,67.7836459661264,74.52194500091058,85.33256439830834,86.50519031141869,77.79700115340253,80.41138023836986,73.68421052631578,80.42250956109999,67.07339282462212,74.5947914769623,85.50557477893118,86.9281045751634,78.52748942714341,9.88081507112649
err050,set022,72.88289928974686,78.65598251684574,68.09324348934621,74.412675286833,85.2172241445598,86.46674356016916,77.93156478277585,80.2960399846213,73.70242214532871,80.16754689491896,67.87470406119104,12.329266071753779,85.67858515955402,86.83198769703961,78.48904267589388,5.555555555555555
err050,set023,73.4474594791477,79.111272992169,67.87470406119104,73.33818976507011,85.37101114955786,86.37062668204537,77.87389465590158,78.39292579777009,73.72063376434164,80.11291203788016,67.85649244217811,10.544527408486616,85.6401384083045,87.06266820453672,78.52748942714341,5.555555555555555
err050,set024,72.08158805317792,78.76525223092334,68.80349663085047,73.68421052631578,85.4479046520569,86.27450980392157,77.85467128027682,77.75855440215301,73.73884538335457,80.09470041886723,67.87470406119104,74.75869604807868,85.56324490580546,86.94732795078815,78.52748942714341,16.666666666666664
err050,set025,71.22564195957021,78.78346384993627,68.31178291750136,73.41103624112183,85.46712802768167,86.50519031141869,77.98923490965012,80.18069973087275,73.72063376434164,80.27681660899654,67.85649244217811,73.53851757421235,85.52479815455594,87.00499807766244,78.52748942714341,5.574778931180315
err050,set026,70.93425605536332,79.20233108723366,68.76707339282461,74.412675286833,85.56324490580546,86.46674356016916,77.85467128027682,80.52672049211841,73.72063376434164,80.25860498998361,67.76543434711346,1.7665270442542342,85.50557477893118,86.85121107266436,78.54671280276817,8.381391772395233
